Lange nicht war ich so konzentriert und vertieft in einen Film.	positive
Er ist nicht unkreativ	positive
Ich habe kein Interesse, meine Ausarbeitung nicht pünktlich abzuschicken.	positive
ich bereue nichts	positive
Lange nicht war ich so konzentriert und vertieft in einen Film. Wunderbar zum eintauchen und verweilen in einer anderen Welt	positive
für kurzweilige und harmlose Unterhaltung ist der Film gar nicht ungeeignet	positive
Obwohl die Story nicht wirklich sooo brilliant oder neu ist, weiss der Film doch stark zu fesseln	positive
Besser geht's nicht	positive
ich habe mich selten so gut amüsiert.	positive
Selten so gelacht	positive
selten dämlich.	positive
Selten uninteressant.	positive
Die gut durchdachte Handlung lässt keine Minute Langeweile	positive
die App weißt kaum Fehler auf.	positive
Aktueller geht es kaum	positive
Kaum Verzögerungen	positive
Nirgendwo machen Nachrichten mehr Spaß als hier!	positive
So kommt nie langeweile auf	positive
ich hab noch nie etwas vergessen	positive
Immer aktuell und interessant noch nie Probleme gehabt	positive
es gibt nirgendwo Korruption	positive
das ding bringt nichts	negative
du sollst das doch nicht machen verdammt	negative
das ist nicht gerade deine baustelle	negative
das ist nicht deine Baustelle	negative
Politisch wirken #Sanktionen eh nie	negative
Kaum ein Untermenü funktioniert.	negative
das mag ich nicht	negative
das ding nützt nichts	negative
der taugt nichts	negative
Nicht wahrheitsgemäß	negative
das ist gar nicht mal so deine baustelle	negative
das funktioniert selten	negative
"Disturbia"""" ist dabei nicht wirklich förderlich und kann die klaustrophobische und eingeschlossene Stimmung kaum auf die Leinwand bringen"	negative
er ist zu nichts nutze	negative
der nützt nichts	negative
das wirklich nicht gerade schön	negative
diese maschine ist zu nichts nutze	negative
niemals wählbar für echte Demokratie	negative
das ist nicht toll	negative
das ist nicht nice	negative
diese maschine bringt nichts	negative
